Y	X	Z
4738.55	8.19	-32.94
4832.54	8.7	-34.41
4926.52	9.45	-36.05
5020.51	10.07	-37.65
5114.49	10.63	-39.28
5208.48	11.18	-40.83
5302.47	11.48	-42.26
5396.46	11.44	-43.64
5490.45	11.83	-45.12
5584.43	12.97	-46.82
5678.41	14.18	-48.48
5772.38	15.39	-50.43
5866.34	16.74	-52.87
5961.3	18.49	-54.87
6055.27	20.59	-56.31
6149.23	22.64	-58.05
6243.2	24.44	-59.96
6337.16	26.16	-61.83
6431.13	28.04	-63.79
6525.08	30.08	-65.8
6619.05	32.03	-67.05
6713.03	33.87	-67.74
6807.01	35.87	-68.85
6900.98	37.83	-70.34
6994.95	39.72	-71.77
7088.92	41.73	-73.04
7182.89	43.83	-74.33
7277.86	45.86	-75.61
7371.83	47.69	-76.86
7465.81	49.37	-78.16
7559.8	50.35	-79.58
7653.78	50.63	-81.2
7747.77	50.77	-82.99
7841.75	50.91	-84.87
7935.73	51.11	-86.75
8029.71	51.27	-88.55
8123.7	51.29	-90.1
8217.7	51.13	-91.32
8311.69	50.91	-92.53
8405.68	50.8	-93.83
8499.67	50.82	-95.14
8593.67	50.99	-96.36
8687.66	51.14	-97.42
8781.66	51.3	-98.47
8875.65	51.48	-99.6
8969.65	51.64	-100.65
9063.64	51.83	-101.62
9157.64	51.94	-102.6
9251.63	51.95	-103.5
9345.63	51.87	-104.23
9439.63	51.95	-104.86
9533.63	52.25	-105.33
9627.63	52.61	-105.67
9721.63	53.12	-105.86
9755.63	53.35	-105.87
9816.61	54.8	-106.19
9847.51	57.1	-106.9
9878.15	61.49	-108.46
9909.37	68.05	-110.91
9939.13	76.19	-113.84
9968.31	86.05	-117.29
9997.82	97.69	-121.5
10025.78	110.23	-126.2
10053.79	124.62	-131.85
10079.85	140.17	-138.13
10105.32	158.29	-144.94
10128.15	178.19	-151.49
10148.83	200.4	-157.78
10168.19	225.15	-163.78
10185.12	250.55	-169.14
10200.39	278.15	-174.48
10212.97	305.99	-179.72
10223.03	334.73	-185.44
10230.2	365.18	-192.08
10233.68	395.13	-199.22
10235.38	456.11	-214.93
10234.68	515.95	-231.13
10233.87	546.82	-239.52
10231.98	606.67	-255.61
10230.8	637.5	-264.11
10229.69	667.32	-272.49
10229.05	697.17	-280.85
10228.74	727.97	-289.51
10228.12	757.79	-297.95
10227.36	787.64	-306.31
10227.25	818.46	-314.91
10227.84	848.35	-323.09
10228.6	878.26	-331.22
10229.13	909.12	-339.66
10230.43	968.88	-356.12
10231.35	999.61	-364.99
10232.19	1029.31	-373.84
10232.84	1058.98	-382.8
10233.37	1089.58	-392.16
10234.18	1148.82	-410.44
10234.24	1179.34	-420.06
10233.73	1234.71	-437.31
10232.65	1325.91	-463.89
10231.49	1417.89	-487.59
10230.92	1509.86	-506.97
10230.92	1603.73	-521.5
10232.08	1698.09	-532.42
10235.14	1792.48	-542.76
10238.54	1887.03	-551.28
10240.86	1981.72	-558.57
10241.44	2076.31	-567.34
10241.36	2170.96	-575.46
10241.36	2265.75	-581.75
10240.45	2360.66	-585.65
10238.87	2455.64	-586.06
10238.54	2550.64	-585.23
10238.79	2645.62	-583.41
10239.21	2740.55	-579.85
10239.94	2834.5	-576.81
10239.86	2929.47	-574.66
10240.52	3024.4	-571.26
10243.09	3119.29	-567.36
10246.16	3214.19	-564.22
10248.32	3309.14	-562.31
10250.31	3404.12	-561.56
10252.05	3499.07	-559.33
10253.61	3593.03	-556.87
10254.52	3688.02	-555.87
10254.6	3783	-554.38
10255.43	3877.99	-553.47
